epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,55443.2,0.6378,0.36537,0.89557,0.98683,0.97316,0.98499,0.72435,1.09026,0.48722,1.04467,0.0008912,0.0008912,0.0008912
58,55975.4,0.62382,0.36765,0.9074,0.98543,0.96104,0.98267,0.72879,1.11563,0.52592,1.08251,0.0008714,0.0008714,0.0008714
59,56475.3,0.63178,0.35125,0.90165,0.98541,0.97403,0.9862,0.72672,1.06596,0.46842,1.04923,0.0008516,0.0008516,0.0008516
60,57019.2,0.62693,0.35215,0.89659,0.98585,0.97403,0.988,0.73482,1.10687,0.46594,1.08783,0.0008318,0.0008318,0.0008318
61,57557.3,0.61124,0.35418,0.89299,0.99828,0.97403,0.98846,0.702,1.1727,0.51912,1.11951,0.000812,0.000812,0.000812
62,58043.4,0.58647,0.33885,0.89591,0.9845,0.97403,0.98747,0.71707,1.13429,0.48152,1.09651,0.0007922,0.0007922,0.0007922
63,58604.1,0.60897,0.35562,0.88824,0.98665,0.95977,0.98736,0.72373,1.11913,0.48532,1.07495,0.0007724,0.0007724,0.0007724
64,59142,0.63925,0.36288,0.90462,0.98563,0.94805,0.98897,0.73505,1.07917,0.51344,1.02697,0.0007526,0.0007526,0.0007526
65,59657.2,0.61553,0.35302,0.89442,0.98644,0.94507,0.98397,0.7299,1.08995,0.52754,1.06656,0.0007328,0.0007328,0.0007328
66,60827,0.60391,0.35705,0.90815,0.98666,0.96024,0.98859,0.72419,1.12476,0.53136,1.06533,0.000713,0.000713,0.000713
67,61390.6,0.59353,0.35141,0.88767,0.9849,0.96104,0.98617,0.72714,1.11248,0.49692,1.04906,0.0006932,0.0006932,0.0006932
68,61929.8,0.59202,0.35192,0.89851,0.9838,0.97403,0.98893,0.73638,1.05693,0.47195,1.02661,0.0006734,0.0006734,0.0006734
69,62393.7,0.59444,0.3339,0.87772,0.97969,0.98701,0.98972,0.73154,1.09015,0.47472,1.00794,0.0006536,0.0006536,0.0006536
70,62854,0.60494,0.34665,0.88935,0.96197,0.98557,0.98822,0.73024,1.07649,0.46043,1.05159,0.0006338,0.0006338,0.0006338
71,63358.6,0.60541,0.33547,0.89125,0.96199,0.98597,0.98847,0.74297,1.04802,0.45272,1.01682,0.000614,0.000614,0.000614
72,63895.9,0.57148,0.31891,0.88364,0.96195,0.98509,0.98824,0.7307,1.05754,0.44219,1.03291,0.0005942,0.0005942,0.0005942
73,64392.7,0.55532,0.32076,0.87767,0.94998,0.98701,0.98698,0.73856,1.0423,0.46541,1.01069,0.0005744,0.0005744,0.0005744
74,64884.3,0.56509,0.31919,0.87691,0.98631,0.96104,0.98704,0.73949,1.05758,0.474,1.03276,0.0005546,0.0005546,0.0005546
75,65356.2,0.58359,0.32551,0.87553,0.98477,0.96104,0.98597,0.70678,1.07872,0.45536,1.03885,0.0005348,0.0005348,0.0005348
76,66023.5,0.58044,0.3305,0.88781,0.98401,0.97403,0.98632,0.71465,1.0802,0.47555,1.01893,0.000515,0.000515,0.000515
77,66531.1,0.56573,0.32813,0.89419,0.96198,0.98573,0.9875,0.70981,1.10591,0.50193,1.0193,0.0004952,0.0004952,0.0004952
78,67118.7,0.57048,0.32482,0.87647,0.98652,0.95045,0.98628,0.72989,1.04932,0.47658,1.0075,0.0004754,0.0004754,0.0004754
79,67616.7,0.57611,0.32893,0.88429,0.96199,0.986,0.98601,0.7377,1.0393,0.46331,1.01557,0.0004556,0.0004556,0.0004556
80,68141,0.57305,0.32177,0.8893,0.9754,0.96104,0.98541,0.71757,1.07851,0.46049,1.04256,0.0004358,0.0004358,0.0004358
81,68663.9,0.5593,0.30821,0.87978,0.98078,0.96104,0.98577,0.73063,1.05454,0.45664,1.04696,0.000416,0.000416,0.000416
82,69172.3,0.54756,0.30312,0.87443,0.98524,0.96104,0.98468,0.72466,1.08773,0.49575,1.01882,0.0003962,0.0003962,0.0003962
83,69705.7,0.54789,0.31101,0.87627,0.98479,0.96104,0.98562,0.72557,1.05892,0.474,1.01265,0.0003764,0.0003764,0.0003764
84,70232.9,0.54896,0.3165,0.88548,0.98402,0.96104,0.98822,0.72413,1.0992,0.47332,1.02702,0.0003566,0.0003566,0.0003566
85,77827.5,0.5592,0.30994,0.87154,1,0.94509,0.98835,0.72947,1.05544,0.45488,1.02744,0.0003368,0.0003368,0.0003368
86,78411.2,0.53631,0.30288,0.86659,0.98426,0.96104,0.98804,0.71843,1.06917,0.45651,1.02606,0.000317,0.000317,0.000317
87,78987.6,0.55393,0.31424,0.88277,1,0.95895,0.98698,0.719,1.0566,0.44378,1.02167,0.0002972,0.0002972,0.0002972
88,79563,0.54741,0.30343,0.88798,0.97398,0.97242,0.98732,0.72636,1.1019,0.47593,1.04427,0.0002774,0.0002774,0.0002774
89,80156.9,0.53128,0.29862,0.86933,0.97398,0.97222,0.98788,0.73878,1.08771,0.46881,1.02821,0.0002576,0.0002576,0.0002576
90,80700.5,0.55405,0.29512,0.8833,1,0.94698,0.98824,0.72955,1.10884,0.47469,1.04993,0.0002378,0.0002378,0.0002378
91,81244.7,0.52001,0.2768,0.84443,0.97289,0.96104,0.98859,0.73241,1.0891,0.46097,1.0328,0.000218,0.000218,0.000218
92,81759.7,0.51773,0.26968,0.84766,0.97333,0.97403,0.98819,0.73807,1.05728,0.44065,1.02127,0.0001982,0.0001982,0.0001982
93,82212.4,0.50561,0.26447,0.84057,0.97395,0.97129,0.98587,0.73667,1.0415,0.46249,1.01519,0.0001784,0.0001784,0.0001784
94,82687.9,0.50693,0.26146,0.84571,0.98615,0.96104,0.97724,0.726,1.07374,0.4859,1.03018,0.0001586,0.0001586,0.0001586
95,83295.5,0.50078,0.259,0.8406,0.98676,0.96826,0.97733,0.72215,1.04605,0.4494,1.02571,0.0001388,0.0001388,0.0001388
96,83791.9,0.49265,0.25679,0.84689,0.98665,0.95992,0.97968,0.71915,1.05799,0.44907,1.03381,0.000119,0.000119,0.000119
97,84322.5,0.5073,0.25916,0.84723,0.98665,0.96015,0.98001,0.71665,1.06964,0.46019,1.04309,9.92e-05,9.92e-05,9.92e-05
98,84853.5,0.49617,0.25411,0.84441,0.98548,0.96104,0.97905,0.70835,1.08113,0.45764,1.05332,7.94e-05,7.94e-05,7.94e-05
99,85322.1,0.48507,0.2496,0.82237,0.98682,0.97211,0.97899,0.72337,1.06695,0.45455,1.04214,5.96e-05,5.96e-05,5.96e-05
100,85808,0.4883,0.24488,0.82799,0.98681,0.97174,0.97905,0.72333,1.07399,0.45846,1.04772,3.98e-05,3.98e-05,3.98e-05
