frame,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,left_hip_x,left_hip_y,left_knee_x,left_knee_y,plant_foot_x,plant_foot_y,ball_pos_x,ball_pos_y,knee_angle,plant_foot_distance
22,569.4110870361328,362.69859194755554,656.0967063903809,569.5707750320435,355.8719730377197,671.3670444488525,602.9814720153809,373.7273955345154,765.9835624694824,544.8125267028809,796.3589286804199,789.7284865379333,760.0,818.0,85.99495800553143,5.891015681459604
23,569.0836715698242,362.01340556144714,658.8123893737793,568.8581657409668,370.73309898376465,671.9854116439819,603.4714508056641,372.4430251121521,766.9428062438965,544.9927711486816,795.933780670166,789.4702863693237,756.0,818.0,86.24538697060976,6.426882706036522
24,568.9297485351562,361.8843376636505,649.9011611938477,577.1524357795715,379.16808128356934,676.8015432357788,603.5739326477051,371.35425209999084,768.0773735046387,545.1305937767029,795.3973960876465,788.6609244346619,760.0,818.0,89.59382098820657,5.880601682388349
25,568.8521003723145,361.7232120037079,651.0076904296875,582.6247215270996,387.49271392822266,678.7445783615112,603.929386138916,370.2149784564972,768.5004615783691,545.0163960456848,794.4929122924805,787.749981880188,756.0,818.0,89.63927641947002,6.411009024635334
26,568.8745307922363,360.45619010925293,678.885612487793,566.5773010253906,395.3671073913574,683.8670611381531,604.0599632263184,368.02314162254333,768.4782028198242,544.9416589736938,794.2882919311523,786.3301706314087,760.0,818.0,84.38480237349168,5.9702080783238785
27,568.9008522033691,359.51331853866577,681.6266441345215,559.9354219436646,395.27026176452637,686.884868144989,604.2703628540039,366.30940318107605,768.0344581604004,544.7172546386719,794.2901229858398,784.070098400116,760.0,818.0,84.5537656708842,6.170170456340767
28,568.7945938110352,358.62648367881775,693.5114479064941,552.8145432472229,413.66320610046387,690.2355480194092,605.518741607666,364.6756160259247,769.1190719604492,544.7676587104797,793.4809684753418,783.2730317115784,760.0,818.0,83.4430824124181,6.170020405700231
29,568.7690162658691,358.22688817977905,690.8260917663574,567.6735734939575,420.73001861572266,697.6898145675659,606.7763900756836,364.113929271698,769.1439056396484,545.634183883667,793.4059524536133,783.3464169502258,756.0,818.0,85.47287823618234,6.677385173434835
30,568.7505340576172,357.71830916404724,697.0630073547363,570.0462341308594,429.3266773223877,704.6944999694824,607.2613906860352,363.9669334888458,768.4499359130859,547.2127389907837,793.3645248413086,784.3561720848083,756.0,818.0,85.55334519250054,6.5842029874431525
31,568.8873481750488,357.6001524925232,704.4812393188477,570.1491665840149,441.872034072876,708.3035731315613,609.1598510742188,364.1242289543152,767.7105331420898,548.399133682251,793.3748817443848,784.7513580322266,756.0,818.0,85.21261995791944,6.550700912704878
32,569.2294120788574,356.898068189621,707.3835182189941,568.0481600761414,444.90729331970215,708.2657217979431,610.803108215332,364.2325687408447,766.8240165710449,550.8952617645264,793.6716842651367,785.0249433517456,756.0,818.0,84.91514397012472,6.556138709506985
33,569.9151992797852,356.92455768585205,708.0117988586426,566.9654059410095,458.6287593841553,710.5872058868408,614.6414566040039,365.3793740272522,766.4028739929199,553.9717769622803,793.7174034118652,785.7698035240173,756.0,818.0,86.61408541083392,6.496859068943755
34,570.6352615356445,357.121217250824,710.0268173217773,567.0081496238708,474.8502445220947,711.2908673286438,620.2098655700684,365.70436120033264,765.9028244018555,553.8480520248413,793.8055229187012,786.0918617248535,756.0,816.0,87.94024446387421,6.4665692955677505
35,570.9867095947266,357.72693514823914,709.3429756164551,566.3089299201965,487.07433700561523,714.6875095367432,624.0035820007324,366.8702530860901,765.8805656433105,553.7671995162964,793.9376449584961,786.9111371040344,756.0,816.0,90.16860638688127,6.413018538995892
36,571.1264991760254,357.76485085487366,710.958423614502,561.0944581031799,496.3015937805176,721.0124158859253,627.0612716674805,366.883385181427,762.7328109741211,553.6150217056274,794.6217155456543,787.3052287101746,756.0,816.0,92.1691582024064,6.4544143979090105
37,571.5716171264648,357.758252620697,712.7003860473633,559.2394208908081,497.7755355834961,723.4644484519958,627.216968536377,366.89613103866577,761.0100173950195,553.2813119888306,795.1284599304199,787.4030113220215,756.0,816.0,92.37403930561858,6.501358032011859
38,572.4801635742188,357.3735272884369,717.0490837097168,559.7780299186707,505.78250885009766,727.5697088241577,630.3475570678711,366.5167808532715,760.4287719726562,551.7024350166321,796.1297035217285,787.5083255767822,758.0,816.0,92.92062417369296,6.233181748735727
39,574.0046882629395,356.95310711860657,720.3424072265625,559.206268787384,516.6610908508301,732.1667790412903,632.7834892272949,366.04180455207825,759.1519546508789,550.411434173584,797.0626258850098,788.4149551391602,758.0,816.0,94.44984647625094,6.2622401272885275
40,574.7874069213867,356.9370460510254,724.3920707702637,554.2947363853455,527.9449081420898,738.680169582367,635.1390838623047,365.6899416446686,758.1721687316895,549.3240451812744,797.5221061706543,789.3170142173767,756.0,818.0,96.0224180502571,6.60861926752534
41,575.8802604675293,356.9458329677582,729.0442657470703,547.2680997848511,538.3784294128418,744.9678039550781,637.2432518005371,365.47709226608276,755.1584815979004,547.8044557571411,797.7926445007324,789.6970081329346,756.0,818.0,97.21182973975985,6.609768058926203
